X,Y,Z,Type,Name,street,HouseNumbe,neighborho,Operator,Seats,Activity,fencing,lighting,handicappe,handicap_1,yearOfEsta,condition,Owner,ForSchool,associatio,SportType,Id
34.7862857260001,31.2667880610001,0,אולם ספורט גדול - 45X24 מ',דניס השרדות,יהודה הלוי,0.0,ד',כיוונים,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3217
34.786134749,31.25374371,0,אצטדיון כדורגל – 105X70 מ',וסרמיל,יהודה הלוי,0.0,ב',כיוונים,16000.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,"הפועל ומכבי ב""ש",כדורגל,3218
34.813499412000105,31.253835614,0,מגרש כדורגל – 45X90 מ',טאובל,בן גוריון,0.0,ג',כיוונים,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3219
34.812797157,31.2555895850001,0,מגרש טניס,טאובל,בן גוריון,0.0,ג',כיוונים,0.0,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3220
34.780322917,31.2444330060001,0,בריכת שחיה - 20X50 מ',בית החייל,בית לחם,2.0,ט',בית החייל,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3221
34.7807473080001,31.244430485000102,0,מגרש כדורסל – 19X32 מ',בית החייל,בית לחם,2.0,ט',בית החייל,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3222
34.7804257500001,31.2449077380001,0,אחר: מתקן ספורט כללי,בית החייל,בית לחם,2.0,ט',בית החייל,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3223
34.784800291000096,31.242645757,0,בריכת שחיה - 25X12.5 מ',בית יציב,העצמאות,79.0,ט',בית יציב,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3224
34.793128854,31.2463267840001,0,מגרש כדורסל – 19X32 מ',בר אילן- מוריה,מנדלי מוכר ספרים,0.0,א',ניהול עצמי,0.0,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3225
34.7588432090001,31.264557621000097,0,מגרש כדורסל – 19X32 מ',היובל,המלכים,10.0,נחל עשן,ניהול עצמי,0.0,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3226
34.7778627480001,31.241399763000103,0,מתקן פתוח לכושר גופני,נווה זאב,,0.0,נווה זאב,כיוונים,0.0,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,כושר,3227
34.787205353000004,31.2572978100001,0,מגרש טניס,מרכז הטניס הישראלי,,0.0,,מרכז הטניס,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3228
34.7894394250001,31.247625721000098,0,מגרש טניס,מרכז הטניס שכונה א',,0.0,,מרכז הטניס,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3229
34.8043455150001,31.2548115290001,0,מגרש כדורסל – 19X32 מ',נטעים,גולומב,0.0,ג',ניהול עצמי,0.0,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,נטעים,,,3230
34.8041341050001,31.254599988000102,0,אולם ספורט קטן – 20x10 מ',נטעים,גולומב,0.0,ג',ניהול עצמי,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,נטעים,,,3231
34.774265493,31.2707561290001,0,"4 מגרש כדורגל – 45X90 מ' דשא טיבעי
1 מגרש כדורגל 45X90 מ' דשא סינטטי",5 מגרשי כדורגל פיקה,הצדיק מירושלים,1.0,נחל עשן,כיוונים,1000.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,"אגודות  הפועל, בית""ר ומכבי",כדורגל,3232
34.7709589610001,31.2446956960001,0,מגרש כדורסל – 19X32 מ',יובלים,שבטה,0.0,ט',ניהול עצמי,0.0,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3233
34.775971251,31.25222095,0,מגרש כדורסל – 19X32 מ',אילנות,בורלא יהודה,19.0,ה',ניהול עצמי,0.0,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,אילנות,,,3234
34.776263644000004,31.252006767000104,0,אולם ספורט בינוני – 32x19 מ',אילנות,בורלא יהודה,19.0,ה',ניהול עצמי,100.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,אילנות,,,3235
34.8087108140001,31.24996753,0,מגרש כדורסל – 19X32 מ',דגניה,ז'בוטינסקי,17.0,ג',ניהול עצמי,0.0,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3236
34.80827192,31.261662845,0,מגרש חול קבוע לכדורעף או לקטרגל או לכדוריד חופים,מרכז הספורט באוניברסיטת בן גוריון,,0.0,,אוניברסיטת בן גוריון,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3237
34.8074026410001,31.262046636999997,0,מגרש ספורט משולב – 43X32 מ',מרכז הספורט באוניברסיטת בן גוריון,,0.0,,אוניברסיטת בן גוריון,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3238
34.808069371,31.262069399,0,אחר: מתקן ספורט כללי,מרכז הספורט באוניברסיטת בן גוריון,,0.0,,אוניברסיטת בן גוריון,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3239
